p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
18,21,Ar,0,19,20,K,0,0.00200847,0.0000214977,0,0,2025-09-02
18,21,Ar,0,19,20,K,1,0.00200166,0.0000214465,0.000000113961,0.00000000276559,2025-09-02
18,21,Ar,0,19,20,K,2,0.00199826,0.0000214168,0.000000453842,0.0000000110003,2025-09-02
18,21,Ar,0,19,20,K,3,0.00199828,0.0000214087,0.00000101665,0.0000000246117,2025-09-02
18,21,Ar,0,19,20,K,4,0.00199762,0.0000213893,0.00000179943,0.000000043508,2025-09-02
18,21,Ar,0,19,20,K,5,0.00199708,0.0000213696,0.00000279922,0.0000000675985,2025-09-02
18,21,Ar,0,19,20,K,6,0.00199714,0.0000213557,0.00000401311,0.000000096793,2025-09-02
18,21,Ar,0,19,20,K,7,0.00199796,0.0000213495,0.00000543819,0.000000131002,2025-09-02
18,21,Ar,0,19,20,K,8,0.00199952,0.0000213513,0.00000707159,0.000000170138,2025-09-02
18,21,Ar,0,19,20,K,9,0.00200178,0.0000213605,0.00000891043,0.000000214112,2025-09-02
18,21,Ar,0,19,20,K,10,0.00200465,0.0000213762,0.0000109519,0.000000262837,2025-09-02
18,21,Ar,0,19,20,K,11,0.00200804,0.0000213976,0.0000131931,0.000000316228,2025-09-02
18,21,Ar,0,19,20,K,12,0.00201187,0.0000214238,0.0000156314,0.000000374199,2025-09-02
18,21,Ar,0,19,20,K,13,0.00201608,0.0000214542,0.0000182639,0.000000436665,2025-09-02
18,21,Ar,0,19,20,K,14,0.00202061,0.0000214881,0.0000210878,0.000000503543,2025-09-02
18,21,Ar,0,19,20,K,15,0.0020254,0.0000215249,0.0000241005,0.000000574749,2025-09-02
18,21,Ar,0,19,20,K,16,0.00203041,0.0000215642,0.0000272992,0.000000650201,2025-09-02
18,21,Ar,0,19,20,K,17,0.0020356,0.0000216056,0.0000306812,0.000000729817,2025-09-02
18,21,Ar,0,19,20,K,18,0.00204094,0.0000216487,0.0000342439,0.000000813517,2025-09-02
18,21,Ar,0,19,20,K,19,0.0020464,0.0000216932,0.0000379846,0.000000901221,2025-09-02
18,21,Ar,0,19,20,K,20,0.00205196,0.0000217388,0.0000419007,0.000000992848,2025-09-02
18,21,Ar,0,19,20,K,21,0.00205759,0.0000217855,0.0000459895,0.00000108832,2025-09-02
18,21,Ar,0,19,20,K,22,0.00206328,0.0000218329,0.0000502485,0.00000118756,2025-09-02
18,21,Ar,0,19,20,K,23,0.00206902,0.0000218809,0.0000546751,0.00000129049,2025-09-02
18,21,Ar,0,19,20,K,24,0.00207479,0.0000219294,0.0000592667,0.00000139704,2025-09-02
18,21,Ar,0,19,20,K,25,0.00208059,0.0000219782,0.0000640209,0.00000150712,2025-09-02
18,21,Ar,0,19,20,K,26,0.00208639,0.0000220274,0.000068935,0.00000162067,2025-09-02
18,21,Ar,0,19,20,K,27,0.00209219,0.0000220766,0.0000740067,0.0000017376,2025-09-02
18,21,Ar,0,19,20,K,28,0.002098,0.000022126,0.0000792333,0.00000185785,2025-09-02
18,21,Ar,0,19,20,K,29,0.00210379,0.0000221754,0.0000846126,0.00000198134,2025-09-02
18,21,Ar,0,19,20,K,30,0.00210956,0.0000222247,0.000090142,0.00000210801,2025-09-02
18,21,Ar,0,19,20,K,31,0.00211532,0.000022274,0.0000958192,0.00000223777,2025-09-02
18,21,Ar,0,19,20,K,32,0.00212105,0.0000223231,0.000101642,0.00000237056,2025-09-02
18,21,Ar,0,19,20,K,33,0.00212676,0.0000223721,0.000107607,0.0000025063,2025-09-02
18,21,Ar,0,19,20,K,34,0.00213243,0.0000224208,0.000113713,0.00000264494,2025-09-02
18,21,Ar,0,19,20,K,35,0.00213807,0.0000224693,0.000119957,0.00000278639,2025-09-02
18,21,Ar,0,19,20,K,36,0.00214367,0.0000225176,0.000126338,0.0000029306,2025-09-02
18,21,Ar,0,19,20,K,37,0.00214924,0.0000225655,0.000132852,0.00000307749,2025-09-02
18,21,Ar,0,19,20,K,38,0.00215477,0.0000226132,0.000139497,0.000003227,2025-09-02
18,21,Ar,0,19,20,K,39,0.00216026,0.0000226605,0.000146271,0.00000337906,2025-09-02
18,21,Ar,0,19,20,K,40,0.0021657,0.0000227076,0.000153172,0.00000353361,2025-09-02
18,21,Ar,0,19,20,K,41,0.0021711,0.0000227542,0.000160198,0.00000369058,2025-09-02
18,21,Ar,0,19,20,K,42,0.00217646,0.0000228005,0.000167346,0.0000038499,2025-09-02
18,21,Ar,0,19,20,K,43,0.00218178,0.0000228464,0.000174615,0.00000401152,2025-09-02
18,21,Ar,0,19,20,K,44,0.00218705,0.000022892,0.000182001,0.00000417538,2025-09-02
18,21,Ar,0,19,20,K,45,0.00219227,0.0000229371,0.000189504,0.0000043414,2025-09-02
18,21,Ar,0,19,20,K,46,0.00219745,0.0000229819,0.00019712,0.00000450953,2025-09-02
18,21,Ar,0,19,20,K,47,0.00220258,0.0000230262,0.000204847,0.0000046797,2025-09-02
18,21,Ar,0,19,20,K,48,0.00220766,0.0000230701,0.000212685,0.00000485187,2025-09-02
18,21,Ar,0,19,20,K,49,0.0022127,0.0000231137,0.00022063,0.00000502596,2025-09-02
18,21,Ar,0,19,20,K,50,0.00221769,0.0000231568,0.00022868,0.00000520192,2025-09-02
18,21,Ar,0,19,20,K,51,0.00222264,0.0000231994,0.000236833,0.00000537969,2025-09-02
18,21,Ar,0,19,20,K,52,0.00222754,0.0000232417,0.000245088,0.00000555921,2025-09-02
18,21,Ar,0,19,20,K,53,0.00223239,0.0000232835,0.000253442,0.00000574043,2025-09-02
18,21,Ar,0,19,20,K,54,0.00223719,0.0000233249,0.000261894,0.00000592329,2025-09-02
18,21,Ar,0,19,20,K,55,0.00224195,0.0000233658,0.00027044,0.00000610773,2025-09-02
18,21,Ar,0,19,20,K,56,0.00224666,0.0000234063,0.000279081,0.0000062937,2025-09-02
18,21,Ar,0,19,20,K,57,0.00225133,0.0000234464,0.000287812,0.00000648114,2025-09-02
18,21,Ar,0,19,20,K,58,0.00225595,0.000023486,0.000296633,0.00000667001,2025-09-02
